ID,SHTREFN,SHTSEQN,SHTIREF,SFILENM,SZMUSRC,SZMCYDC,SZMTIMC,CREATEDATE,FILEFOUND,SENDALERT,SENDDATE,Status,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn
12222,AMK122DIS0027919,1,DIP21112070,01/11/21 - 01/12/21,API-STD,20211111,102314,16/11/2021 4:49:33 pm,True,False,,,,,,
12223,AMK122DIS0027921,1,DIP21112071,01/11/21 - 01/12/21,API-STD,20211111,102315,16/11/2021 4:49:33 pm,True,False,,,,,,
12224,AMKITEDIS0027928,1,DIP21112072,01/11/21 - 01/12/21,API-STD,20211111,102316,16/11/2021 4:49:33 pm,True,False,,,,,,
12225,BDC209DIS0028132,1,DIP21112073,01/11/21 - 01/12/21,API-STD,20211111,102317,16/11/2021 4:49:33 pm,True,False,,,,,,
12226,BDN539DIS0028104,1,DIP21112074,01/11/21 - 01/12/21,API-STD,20211111,102319,16/11/2021 4:49:33 pm,True,False,,,,,,
12227,CSR052DIS0027762,1,DIP21112075,01/11/21 - 01/12/21,API-STD,20211111,102320,16/11/2021 4:49:33 pm,True,False,,,,,,
12228,CSR052DIS0028067,1,DIP21112076,01/11/21 - 01/12/21,API-STD,20211111,102321,16/11/2021 4:49:33 pm,True,False,,,,,,
12229,CTW720DIS0028094,1,DIP21112077,01/11/21 - 01/12/21,API-STD,20211111,102322,16/11/2021 4:49:33 pm,True,False,,,,,,
12230,DIS0027465,1,DIP21112078,01/11/21 - 01/12/21,API-STD,20211111,102332,16/11/2021 4:49:33 pm,True,False,,,,,,
12231,DIS0027466,1,DIP21112079,01/11/21 - 01/12/21,API-STD,20211111,102350,16/11/2021 4:49:33 pm,True,False,,,,,,
12232,DIS0027857,1,DIP21112080,29/11/21 - 29/12/21,API-STD,20211111,102358,16/11/2021 4:49:33 pm,True,False,,,,,,
12233,ELM623DIS0028112,1,DIP21112081,01/11/21 - 01/12/21,API-STD,20211111,102358,16/11/2021 4:49:33 pm,True,False,,,,,,
12234,ELM623DIS0028130,1,DIP21112082,01/11/21 - 01/12/21,API-STD,20211111,102358,16/11/2021 4:49:33 pm,True,False,,,,,,
12235,FRZ0000019,1,DIP21112083,01/11/21 - 01/12/21,API-STD,20211111,102359,16/11/2021 4:49:33 pm,True,False,,,,,,
12236,FRZ0000020,1,DIP21112084,02/11/21 - 02/12/21,API-STD,20211111,102359,16/11/2021 4:49:33 pm,True,False,,,,,,
