ID,ZMCOMP,HTPREX,HTPONO,ETPOLN,DMITNO,HTDESC,HTCONV,HTOQTY,HTQREC,BTBUMS,HTUPRC,HTDISV,HTDISM,XHTUPRC,BLINTOT,XRECS2,HTPON2,DateIn,DMVBAR,HTGRN2,XPLTSIZE
7605079,10,CPO,188285,1,760278,DUREX EXTRA SAFE 12S,12.00000,3.00000,3.00000,CTN,134.40000,0.00,,134.40000,403.20,1,CPO188285,31-Dec-21 5:29:02 PM,8850163100138,CPO188285,
7605080,10,CPO,188285,2,761679,DUREX INVISIBLE EXTRA SENSITIVE 3S,24.00000,4.00000,4.00000,CTN,142.80000,0.00,,142.80000,571.20,2,CPO188285,31-Dec-21 5:29:02 PM,5052197050233,CPO188285,
7605081,10,CPO,188285,3,760389,DUREX TOGETHER 3S,24.00000,4.00000,4.00000,CTN,62.88000,0.00,,62.88000,251.52,3,CPO188285,31-Dec-21 5:29:02 PM,8850163000209,CPO188285,
7605082,10,CPO,188285,4,760340,OPTREX EYE LOTION 110ML,12.00000,10.00000,10.00000,CTN,97.08000,0.00,,97.08000,970.80,4,CPO188285,31-Dec-21 5:29:02 PM,9556108263003,CPO188285,
7605083,10,CPO,188285,5,760393,OPTREX 10ML,6.00000,40.00000,40.00000,CTN,26.58000,0.00,,26.58000,1063.20,5,CPO188285,31-Dec-21 5:29:02 PM,9556108261009,CPO188285,
7605194,20,CPO,188278,1,188452,SWALLOW AGAR POWDER GREEN 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,83,F1P188278,31-Dec-21 5:29:03 PM,8888338001287,CPO188278,
7605195,20,CPO,188278,2,105308,SWALLOW AGAR POWDER ORANGE 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,84,F1P188278,31-Dec-21 5:29:03 PM,8888338001683,CPO188278,
7605196,20,CPO,188278,3,105304,SWALLOW AGAR POWDER WHITE 10G,12.00000,2.00000,2.00000,CTN,10.32000,0.00,,10.32000,20.64,85,F1P188278,31-Dec-21 5:29:03 PM,8888338001188,CPO188278,
7605197,20,CPO,188278,4,105307,SWALLOW AGAR POWDER YELLOW 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,86,F1P188278,31-Dec-21 5:29:03 PM,8888338001881,CPO188278,
7605341,20,CPO,188399,1,105304,SWALLOW AGAR POWDER WHITE 10G,12.00000,5.00000,5.00000,CTN,10.32000,0.00,,10.32000,51.60,230,MNP364590,31-Dec-21 5:29:03 PM,8888338001188,CPO188399,
7605540,20,5BP,7,1,188452,SWALLOW AGAR POWDER GREEN 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,429,5BP000007,31-Dec-21 5:29:03 PM,8888338001287,5BG000054,
7605541,20,5BP,7,2,105308,SWALLOW AGAR POWDER ORANGE 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,430,5BP000007,31-Dec-21 5:29:03 PM,8888338001683,5BG000054,
7605542,20,5BP,7,3,105305,SWALLOW AGAR POWDER RED 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,431,5BP000007,31-Dec-21 5:29:03 PM,8888338001386,5BG000054,
7605543,20,5BP,7,4,105304,SWALLOW AGAR POWDER WHITE 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,432,5BP000007,31-Dec-21 5:29:03 PM,8888338001188,5BG000054,
7605544,20,5BP,7,5,105307,SWALLOW AGAR POWDER YELLOW 10G,12.00000,1.00000,1.00000,CTN,10.32000,0.00,,10.32000,10.32,433,5BP000007,31-Dec-21 5:29:03 PM,8888338001881,5BG000054,
